index,handover_count,joint_limit_count,joint_margin_q1_mean,joint_margin_q1_std,joint_margin_q2_mean,joint_margin_q2_std,joint_margin_q3_mean,joint_margin_q3_std,joint_margin_q4_mean,joint_margin_q4_std,joint_margin_q5_mean,joint_margin_q5_std,joint_margin_q6_mean,joint_margin_q6_std
0,1,2,0.6907990412623299,0.05403230088086711,0.9921860767676901,0.007265266599178982,0.233095631905708,0.16919117378431317,0.8714928351052789,0.10370721289932125,0.785383319914413,0.28877344295056523,0.6219079884077385,0.2618584470764129
1,1,2,0.7115537937479838,0.030218934672433806,0.9899151847505074,0.013663307563420128,0.36059878781710203,0.11891773478342665,0.8843168375501711,0.0864576818886476,0.9255138759548249,0.08433171989443917,0.5591198952638232,0.3309109982890788
2,2,4,0.7040430378589978,0.04918916874971691,0.9953207745464866,0.003770675735014781,0.21383230511887732,0.1333325956228259,0.9050247558438275,0.08266266848572888,0.728160528731542,0.22617570321373903,0.616408009022911,0.353668838344764
3,1,1,0.6965892970786258,0.04554398158721775,0.9966695063114045,0.0018448739434021413,0.281279496473322,0.17881193380839036,0.7885273808939237,0.06176621593199355,0.6474332951466788,0.20049653398089956,0.8510997300525752,0.09250713483096508
4,0,0,0.6940307729572749,0.046298628847664225,0.9807025158829701,0.011780838590295106,0.40689903808996264,0.06516997335926533,0.8561203892528884,0.1089633160647378,0.9165944822431314,0.08332672180244549,0.7100666173746861,0.05675950533188873
5,1,4,0.6906545001058428,0.024958872007696444,0.9967970485398254,0.0027997695356188346,0.15670630227018822,0.12172234346228106,0.7323927087972081,0.08567758518945043,0.8081298774676207,0.21392012017733936,0.6599998704209521,0.3478654463216192
6,2,1,0.638328983422532,0.05121839136158236,0.9898861680055564,0.009957927160409925,0.3614721222125765,0.08019965831020982,0.5964070007324692,0.2969676848649102,0.8893647171740507,0.12472143107868214,0.8067564757618192,0.13942769611435102
7,1,2,0.6724983456937519,0.022152897573052322,0.9952595940129281,0.0032985008020969967,0.2773127526805825,0.1927499738354968,0.8472524838375294,0.10106950083338669,0.87222077003592,0.12941966889942452,0.6489590498156108,0.3904541874453723
8,1,2,0.6708980678139083,0.043003218955553514,0.9954596193294427,0.0045934953128100794,0.1634455111419861,0.24047751757612032,0.7186944612094175,0.2142449016656896,0.9871022158241662,0.01919325358802643,0.6263241606869473,0.18602500363114535
9,1,0,0.694260578725948,0.04533809191753302,0.9824111848407392,0.025469514874988046,0.34540008359907703,0.10200166557757892,0.7794227858339986,0.14828680160360566,0.883916069378511,0.07009535934614855,0.726254454194219,0.17159690163494937
10,1,2,0.6840640217592568,0.05629497430356388,0.997012007843438,0.0017933784893135755,0.200396549952413,0.24422173510724784,0.7016544020033824,0.11066566098034668,0.6603020977726761,0.2981724924659113,0.7293926045518561,0.30602037627559264
11,3,6,0.699555089352956,0.04013788975270253,0.9971371281565491,0.0021789612220771658,0.22122419905828183,0.15905713288434967,0.7590667096834872,0.1448353542380874,0.8523325711734815,0.2092718700053639,0.6529154717640373,0.4007948164079042
12,1,3,0.6817282589057538,0.0641377118170548,0.9919972003795139,0.012287792422402645,0.13101614763201083,0.22642580319120506,0.8392992173363114,0.14431386956588332,0.9207965144697818,0.09112987709128016,0.5516854050731907,0.3848733515925892
13,1,4,0.6800018997154286,0.06374996160984842,0.9963938237995452,0.005174082463539007,0.10137739794739761,0.30721906036407187,0.7743023649830689,0.10272899565955043,0.6867137752639142,0.32634762558404745,0.7062856115696852,0.41177504595581305
14,1,2,0.7056731191262879,0.04069100777555493,0.9911908539870022,0.009733896861112685,0.26431950567026935,0.14934937120568179,0.8618316489506083,0.06821834386648357,0.8253469363177061,0.1579360255707627,0.7468628029820104,0.13930170646429008
15,1,1,0.6899615761377896,0.048202465907991994,0.9922637826901192,0.007660692266498028,0.2596381085719846,0.08505245531387537,0.9108977334709504,0.06713151071033004,0.8943730308912449,0.03780238940668544,0.556560183668438,0.28211328512905004
16,0,1,0.7102012477906494,0.017586513323687603,0.9979692505831718,0.0003195913000788586,0.06292240624687528,0.19683550663379135,0.8771599079174115,0.06440113121929197,0.8516106761078948,0.03986273844871563,0.6411399464914802,0.295836015661121
17,1,5,0.7105895152558266,0.03983403843381364,0.9992322673379186,0.0009010421306412487,-0.0320901852549334,0.22903238535111164,0.4656019262196407,0.46650284415129517,0.7472002037108761,0.14362130861191913,0.6927345775913749,0.1504938953164291
18,0,3,0.678588813649578,0.0024646595985878816,0.9956693418013725,0.002739348502774186,-0.1254447513978421,0.13063136890933918,0.4497487880058361,0.42118136983437565,0.9333827383819455,0.04806133396836926,0.8587455504951718,0.007715403097588391
19,1,5,0.7025900007136104,0.054066200397092035,0.9960212438428169,0.006597768663639248,0.04701515163290315,0.15262049119225957,0.5707958814211547,0.3461654461937313,0.9760603279246638,0.030735201543061797,0.5279263481324346,0.3197767641684311
overall,1.05 ± 0.67,2.50 ± 1.66,0.6903,0.0169,0.9935,0.0048,0.1965,0.1337,0.7595,0.1363,0.8396,0.0988,0.6746,0.0924
