index,handover_count,joint_limit_count,joint_margin_q1_mean,joint_margin_q1_std,joint_margin_q2_mean,joint_margin_q2_std,joint_margin_q3_mean,joint_margin_q3_std,joint_margin_q4_mean,joint_margin_q4_std,joint_margin_q5_mean,joint_margin_q5_std,joint_margin_q6_mean,joint_margin_q6_std
0,0,0,0.6916423106340157,0.02532480782288521,0.9808643585169969,0.0073077493682818795,0.3309020702410695,0.0004174889965236628,0.9302963396929057,0.016501778414551027,0.9777241070143634,0.001126388478183915,0.7039915144045997,0.1166691430226049
1,1,1,0.6679024098906448,0.04837722605185514,0.9837220857375263,0.01647302294844818,0.32369232715592894,0.054747074241723225,0.8119321094934733,0.14517782426078907,0.9673838172882221,0.024776962191664493,0.6343624352566469,0.3807426125843001
2,0,0,0.7038551776848001,0.060409166060064357,0.9882479128193689,0.003922891808710027,0.41466857033131543,0.006484966010965709,0.9159763175277367,0.0006018241847244865,0.9277771209561467,0.07044679386765912,0.7061959357251058,0.25975293414334993
3,5,1,0.6575958559144072,0.04287443922277219,0.9953881308320977,0.005609751199605672,0.3050844665339353,0.049949972799041176,0.8788699064473838,0.10018487268647128,0.9123821371370969,0.12058770566007637,0.6353372064347104,0.32589481410191073
4,1,2,0.6716592231451415,0.041786558402404944,0.9956371221679334,0.004694067822085437,0.21776102150125792,0.1400232828166802,0.943053302572713,0.0560449645213006,0.8864918880686306,0.18574986599915905,0.7531367647529197,0.3345338615023733
5,2,0,0.6690671174651558,0.055569970763657627,0.9975932883296759,0.0027665862824003936,0.25259244544212417,0.058744428591216334,0.9045598288017374,0.051437791880509336,0.7952213998500729,0.12052683297071592,0.7683410138845376,0.21315596381489593
6,1,0,0.6591670890625487,0.069071275436988,0.9903845457215392,0.010812674430214072,0.29043159190088597,0.0730155735830883,0.9295583366799421,0.05337778742108846,0.9409159076067827,0.09749287399767878,0.6967623278386399,0.25847785327848166
7,0,0,0.7013616230974136,0.09041625081190302,0.9831021554318893,0.003984827450776496,0.4650556833902148,0.1272688649744203,0.9058258292137225,0.03815291576255753,0.9852699087812866,0.006035103209694304,0.8083964864625588,0.10779033193918758
8,1,1,0.6718896687447462,0.08451426437366022,0.9886627076901536,0.011224475235075674,0.2919624502934156,0.26941107052451785,0.8154236008489195,0.17136016056195705,0.8853460449250465,0.13353268401411444,0.8413422992622522,0.0982695372110738
9,3,1,0.6720985772739989,0.050118402353876275,0.9970718880132577,0.003171226082076153,0.3248958941375455,0.08938679331069732,0.894083501594237,0.14753118705353332,0.7787631563990098,0.16537931599236877,0.79476113199911,0.2985192468094464
10,1,2,0.6787069803613786,0.024113709739034515,0.9952264815056799,0.005522086799398305,0.22441627020513027,0.1150006506770955,0.9766437229021054,0.02275725216867747,0.7102081063557738,0.13690698595155046,0.8917911555338236,0.09734569181820804
11,1,1,0.6722203571792515,0.03158552190868611,0.9958578542252956,0.004101756061372248,0.31251062814799135,0.04560556527241994,0.9659681876875077,0.027206382022990964,0.7845820413142994,0.08015204322344233,0.6990905334383867,0.4047673303871017
12,0,0,0.7173732176519436,0.060241324230850546,0.987584910397418,0.00488829193555762,0.4365914108060053,0.08589500154703111,0.9532941565512651,0.010115638620388723,0.8560288517834609,0.14217402371527982,0.7837393521929672,0.13605565071969755
13,1,2,0.6834832756321841,0.04033724850932531,0.9938513835662437,0.005380366724129741,0.30272174933986584,0.16133722155324043,0.83873599567666,0.13842228113805216,0.9240540293155141,0.097771788801388,0.7533796256112721,0.20857872708678943
14,1,0,0.6923917943308716,0.046620945046530894,0.9932305488719874,0.005805309879752196,0.37300520248674274,0.07792445948652751,0.9034884317419756,0.05461733482204826,0.8927759910366488,0.05918013608033676,0.7581356394091583,0.20873074617729845
15,2,1,0.6687835184844356,0.06033063912350007,0.9962082274876712,0.0026974152230818454,0.3447561180004411,0.10548943007079517,0.9300879533235555,0.06111623739955878,0.7149044336775098,0.23145493333183326,0.6660651917797545,0.3229517178060264
16,3,1,0.6610320936038301,0.05052778366623638,0.99335175087876,0.00821459799580036,0.29746049083580967,0.10067400065550859,0.940065841954826,0.053695713935773146,0.9135820390579864,0.11514638170157285,0.875866794876603,0.1315589096172398
17,0,1,0.6589102110697633,0.01163962859707433,0.9918405829751332,0.0005270976358171964,0.2922315919798284,0.1603557224988461,0.9222271661241063,0.012420171164646474,0.9006513779257131,0.002796126109825801,0.9264644289945599,0.011636993526527134
18,1,0,0.6607660284114714,0.04053222878611219,0.9868927117990028,0.010506520502945446,0.36825926058210956,0.05803125468736834,0.7505196120834982,0.14488830498978036,0.9328716606914489,0.023210495267528233,0.7408552271940176,0.17522875494942936
19,2,0,0.6423484456188336,0.055161345514711004,0.9928697229940876,0.005071709610711552,0.3110756662030381,0.05063686403111512,0.9392391876662832,0.06657449235040228,0.8594479898709332,0.0876818365150051,0.7597926760582295,0.18373438960351204
overall,1.30 ± 1.23,0.70 ± 0.71,0.6751,0.0179,0.9914,0.0048,0.3240,0.0620,0.9025,0.0561,0.8773,0.0792,0.7599,0.0786
